,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV1,29220,34617,25535,29394,25853,36401,7657,25,12708,363,28,11169,0,0,0,0,0,7
ASV2,2164,131,2687,1875,2929,186,4200,4685,4864,9791,6249,3527,4931,5560,6306,7925,4283,7049
ASV3,1430,96,1294,1261,2790,585,9153,6454,1598,6170,8762,7130,3937,5230,5519,1836,839,1642
ASV4,1032,126,1181,2141,2193,263,4302,345,3749,1381,6213,3091,8384,6807,2786,4017,2344,7082
ASV5,1173,34,954,1031,1107,165,2287,6676,3082,4101,2157,1255,3651,3957,4589,4545,1212,2560
ASV6,1126,94,984,628,912,268,2946,3529,2433,3395,3948,2521,3144,3161,3804,3252,1156,2495
ASV8,519,49,700,467,409,98,260,1595,2245,1483,415,137,2522,2984,3791,3818,1583,2334
ASV7,417,14,431,340,649,30,1012,882,947,1975,1147,852,793,1438,973,1773,834,1576
ASV13,358,33,147,237,194,39,397,2691,836,1197,461,184,482,846,1340,1785,323,1096
ASV463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14451,0
ASV11,187,19,322,289,308,46,521,369,934,711,544,283,1007,993,1269,1003,545,743
ASV10,248,20,282,243,313,22,484,565,470,1078,762,371,560,704,651,928,460,846
ASV9,198,9,142,185,397,91,1247,599,188,277,1256,874,803,940,771,387,131,281
ASV14,139,17,256,175,177,0,268,302,407,159,387,238,947,791,1413,1055,502,482
ASV15,143,9,124,26,149,14,369,2254,356,830,410,428,522,567,565,758,142,122
ASV12,214,21,172,114,274,27,408,643,164,958,701,406,286,368,193,361,133,160
ASV366,12,0,0,0,0,0,0,0,0,32,76,1626,0,0,0,0,0,41
ASV16,70,0,113,172,151,12,224,578,391,151,105,149,487,602,744,489,231,343
ASV182,110,2662,383,0,0,804,272,0,0,0,0,961,0,0,0,0,0,0
ASV180,0,0,472,84,0,0,0,0,0,0,640,0,1050,0,0,0,0,1831
ASV181,0,0,460,0,0,0,0,0,0,0,569,0,992,0,0,0,29,1572
ASV19,135,8,133,91,94,19,233,216,422,615,287,188,350,428,561,526,110,205
ASV18,143,0,123,75,94,19,301,317,351,519,383,188,302,379,385,439,101,246
ASV184,0,2237,328,0,0,745,186,0,0,0,0,749,0,0,0,0,0,0
ASV293,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,70
ASV183,0,0,380,72,0,0,0,0,0,0,474,0,827,0,0,0,0,1361
ASV112,0,0,0,0,0,0,323,271,220,485,316,0,209,375,293,517,0,360
ASV22,64,0,93,87,73,32,122,130,191,91,173,96,486,366,622,453,214,218
ASV464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4165,0
ASV113,126,0,142,111,0,0,280,255,212,474,0,0,204,336,289,380,223,342
ASV17,83,11,144,79,113,19,214,338,106,615,369,299,237,196,57,65,61,76
ASV26,96,0,72,51,55,0,248,250,179,253,346,211,226,291,300,269,94,217
ASV23,93,0,59,28,64,11,139,1084,111,318,151,144,262,188,208,185,55,103
ASV28,77,3,80,62,49,7,147,563,212,308,109,67,194,239,246,309,96,171
ASV25,77,0,79,40,53,0,204,245,154,231,282,173,181,231,212,234,46,131
ASV21,28,5,81,57,74,4,65,80,174,51,115,74,311,278,488,324,177,155
ASV298,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,541,0,1749
ASV20,49,0,39,38,77,0,105,82,119,194,115,93,88,163,98,193,92,144
ASV203,0,0,7,0,0,0,32,10,0,0,0,0,2,0,0,10,0,366
ASV33,0,0,70,32,30,0,48,419,137,22,10,20,126,147,200,167,68,129
ASV185,0,0,137,0,0,0,0,0,0,0,172,0,307,0,0,0,0,517
ASV27,37,0,0,33,50,0,154,82,25,46,158,127,131,159,130,71,0,49
